R0, AKT2_[PH]_i+_PI_[AKT2]
R1, AKT2_[PH]_i-_PI_[AKT2]
R2, AKT2_p+_PPM1G_[(PPP1R3G)]
R3, AKT2_p+_PRAS40_[(Thr246)]
R4, AKT2_p+_SIN1_[(Thr86)]
R5, AKT2_p+_TSC2_[(Ser1130)]
R6, AKT2_p+_TSC2_[(Ser939)]
R7, AKT2_p+_TSC2_[(Ser981)]
R8, AKT2_p+_TSC2_[(Thr1462)]
R9, GTP_gef_RHEB_[(G)]
R10, INPP4B_p-_PI_[(4)]
R11, IRS_[pYMXM]_ppi+_PI3K_[SH2]
R12, IRS_[pYMXM]_ppi-_PI3K_[SH2]
R13, IR_p+_IRS_[(tyrosines)]
R14, IR_p-_IRS_[(tyrosines)]
R15, PDK1_[PH]_i+_PI_[PDK1]
R16, PDK1_[PH]_i-_PI_[PDK1]
R17, PDK1_p+_AKT2_[(Thr309)]
R18, PHLPP1_p-_AKT2_[(S474)]
R19, PI3K_p+_PI_[(3)]
R20, PI4K3alpha_p+_PI_[(4)]
R21, PIPK1alpha_p+_PI_[(5)]
R22, PIPP_p-_PI_[(5)]
R23, PP2A_p-_AKT2_[(Thr309)]
R24, PP5_p-_TSC2_[(Ser1130)]
R25, PP5_p-_TSC2_[(Ser939)]
R26, PP5_p-_TSC2_[(Ser981)]
R27, PP5_p-_TSC2_[(Thr1462)]
R28, PPM1G_p-_EIF4EBP1_[(Ser65)]
R29, PPM1G_p-_EIF4EBP1_[(Thr37)]
R30, PPM1G_p-_EIF4EBP1_[(Thr46)]
R31, PPM1G_p-_EIF4EBP1_[(Thr70)]
R32, PTEN_p-_PI_[(3)]
R33, RHEB_[switch1]_ppi+_mTOR_[MheatFAT]
R34, RHEB_[switch1]_ppi-_mTOR_[MheatFAT]
R35, RHEB_[switch2]_ppi+_mTOR_[MheatNheatFAT]
R36, RHEB_[switch2]_ppi-_mTOR_[MheatNheatFAT]
R37, Raptor_[BindingMotif]_ppi+_PRAS40_[TOS]
R38, Raptor_[BindingMotif]_ppi-_PRAS40_[TOS]
R39, S6K1_p+_IRS_[(hS307)]
R40, S6K1_p+_IRS_[(hS527)]
R41, S6K1_p+_RICTOR_[(Thr1135)]
R42, SAC1M1L_p-_PI_[(4)]
R43, SYNJ2_p-_PI_[(5)]
R44, TSC1_[Cterminus]_ppi+_TSC2_[Nterminus]
R45, TSC1_[Cterminus]_ppi-_TSC2_[Nterminus]
R46, TSC2_gap_RHEB_[(G)]
R47, [Output]
R48, insulin_[IR]_ppi+_IR_[insulin]
R49, insulin_[IR]_ppi-_IR_[insulin]
R50, mTOR_[LBE]_ppi+_mLST8_[WD40repeats]
R51, mTOR_[LBE]_ppi-_mLST8_[WD40repeats]
R52, mTOR_[RICTOR]_ppi+_RICTOR_[mTOR]
R53, mTOR_[RICTOR]_ppi-_RICTOR_[mTOR]
R54, mTOR_[Raptor]_ppi+_Raptor_[mTOR]
R55, mTOR_[Raptor]_ppi-_Raptor_[mTOR]
R56, mTOR_[SIN1]_ppi+_SIN1_[mTOR]
R57, mTOR_[SIN1]_ppi-_SIN1_[mTOR]
R58, mTOR_p+_AKT2_[(S474)]
R59, mTOR_p+_EIF4EBP1_[(Ser65)]
R60, mTOR_p+_EIF4EBP1_[(Thr37)]
R61, mTOR_p+_EIF4EBP1_[(Thr46)]
R62, mTOR_p+_EIF4EBP1_[(Thr70)]
R63, mTOR_p+_PRAS40_[(Ser183)]
R64, mTOR_p+_PRAS40_[(Ser221)]
R65, mTOR_p+_S6K1_[(T389)]
R66, protein1433_[PRAS40]_ppi+_PRAS40_[protein1433]
R67, protein1433_[PRAS40]_ppi-_PRAS40_[protein1433]
R68, unk1_p-_PPM1G_[(PPP1R3G)]
R69, unk2_p-_S6K1_[(T389)]
R70, unk3_p-_IRS_[(hS307)]
R71, unk4_p-_IRS_[(hS527)]
R72, unk5_p-_RICTOR_[(Thr1135)]
R73, unk6_p-_PRAS40_[(Thr246)]
R74, unk7_p-_PRAS40_[(Ser183)]
R75, unk8_p-_PRAS40_[(Ser221)]
R76, unk9_p-_SIN1_[(Thr86)]
S0, AKT2_[(S474)]-{0}
S1, AKT2_[(S474)]-{p}
S2, AKT2_[(Thr309)]-{0}
S3, AKT2_[(Thr309)]-{p}
S4, AKT2_[PH]--0
S5, AKT2_[PH]--PI_[AKT2]
S6, EIF4EBP1_[(Ser65)]-{0}
S7, EIF4EBP1_[(Ser65)]-{p}
S8, EIF4EBP1_[(Thr37)]-{0}
S9, EIF4EBP1_[(Thr37)]-{p}
S10, EIF4EBP1_[(Thr46)]-{0}
S11, EIF4EBP1_[(Thr46)]-{p}
