R0, AKT2_[PH]_i+_PI_[AKT2]
R1, AKT2_[PH]_i-_PI_[AKT2]
R2, AKT2_p+_PPM1G_[(PPP1R3G)]
R3, AKT2_p+_PRAS40_[(Thr246)]
R4, AKT2_p+_SIN1_[(Thr86)]
R5, AKT2_p+_TSC2_[(Ser1130)]
R6, AKT2_p+_TSC2_[(Ser939)]
R7, AKT2_p+_TSC2_[(Ser981)]
R8, AKT2_p+_TSC2_[(Thr1462)]
R9, GTP_gef_RHEB_[(G)]
R10, INPP4B_p-_PI_[(4)]
R11, IRS_[pYMXM]_ppi+_PI3K_[SH2]
R12, IRS_[pYMXM]_ppi-_PI3K_[SH2]
R13, IR_p+_IRS_[(tyrosines)]
R14, IR_p-_IRS_[(tyrosines)]
R15, MTM3_p-_phosphoinositide_[(3)]
R16, PDK1_[PH]_i+_PI_[PDK1]
R17, PDK1_[PH]_i-_PI_[PDK1]
R18, PDK1_p+_AKT2_[(Thr309)]
R19, PHLPP1_p-_AKT2_[(S474)]
R20, PI3K_p+_PI_[(3)]
R21, PI4K3alpha_p+_PI_[(4)]
R22, PI5P4K_p+_phosphoinositide_[(4)]
R23, PIKfyve_p+_phosphoinositide_[(5)]
R24, PIPK1alpha_p+_PI_[(5)]
R25, PIPP_p-_PI_[(5)]
R26, PP2A_p-_AKT2_[(Thr309)]
R27, PP5_p-_TSC2_[(Ser1130)]
R28, PP5_p-_TSC2_[(Ser939)]
R29, PP5_p-_TSC2_[(Ser981)]
R30, PP5_p-_TSC2_[(Thr1462)]
R31, PPM1G_p-_EIF4EBP1_[(Ser65)]
R32, PPM1G_p-_EIF4EBP1_[(Thr37)]
R33, PPM1G_p-_EIF4EBP1_[(Thr46)]
R34, PPM1G_p-_EIF4EBP1_[(Thr70)]
R35, PTEN2_p-_PI_[(3)]
R36, PTEN_p-_PI_[(3)]
R37, RHEB_[switch1DSYDPTIEN]_ppi+_mTOR_[FATfα2fα3]
R38, RHEB_[switch1DSYDPTIEN]_ppi-_mTOR_[FATfα2fα3]
R39, RHEB_[switch1]_ppi+_mTOR_[Mheatmα2mα3mα4]
R40, RHEB_[switch1]_ppi-_mTOR_[Mheatmα2mα3mα4]
R41, RHEB_[switch2GQDEYSIFPQTYSIDIN]_ppi+_mTOR_[Nheatnα3tonα7]
R42, RHEB_[switch2GQDEYSIFPQTYSIDIN]_ppi-_mTOR_[Nheatnα3tonα7]
R43, Raptor_[TOS]_ppi+_PRAS40_[TOS]
R44, Raptor_[TOS]_ppi-_PRAS40_[TOS]
R45, S6K1_p+_IRS_[(hS307)]
R46, S6K1_p+_IRS_[(hS527)]
R47, S6K1_p+_RICTOR_[(Thr1135)]
R48, S6K1_p+_SIN1_[(Thr398)]
R49, SAC1M1L_p-_PI_[(4)]
R50, SAC3_p-_PI_[(5)]
R51, SYNJ2_p-_PI_[(5)]
R52, TMEM55_p-_phosphoinositide_[(4)]
R53, TSC1_[Cterminus]_ppi+_TSC2_[Nterminus]
R54, TSC1_[Cterminus]_ppi-_TSC2_[Nterminus]
R55, TSC2_gap_RHEB_[(G)]
R56, VPS34_p+_phosphoinositide_[(3)]
R57, [Output]
R58, insulin_[IR]_ppi+_IR_[insulin]
R59, insulin_[IR]_ppi-_IR_[insulin]
R60, mTOR_[RICTOR]_ppi+_RICTOR_[mTOR]
R61, mTOR_[RICTOR]_ppi-_RICTOR_[mTOR]
R62, mTOR_[Raptor]_ppi+_Raptor_[mTOR]
R63, mTOR_[Raptor]_ppi-_Raptor_[mTOR]
R64, mTOR_[SIN1]_ppi+_SIN1_[mTOR]
R65, mTOR_[SIN1]_ppi-_SIN1_[mTOR]
R66, mTOR_[mLST8]_ppi+_mLST8_[mTOR]
R67, mTOR_[mLST8]_ppi-_mLST8_[mTOR]
R68, mTOR_p+_AKT2_[(S474)]
R69, mTOR_p+_EIF4EBP1_[(Ser65)]
R70, mTOR_p+_EIF4EBP1_[(Thr37)]
R71, mTOR_p+_EIF4EBP1_[(Thr46)]
R72, mTOR_p+_EIF4EBP1_[(Thr70)]
R73, mTOR_p+_PRAS40_[(Ser183)]
R74, mTOR_p+_PRAS40_[(Ser221)]
R75, mTOR_p+_S6K1_[(T389)]
R76, protein1433_[PRAS40]_ppi+_PRAS40_[protein1433]
R77, protein1433_[PRAS40]_ppi-_PRAS40_[protein1433]
R78, unk10_p-_SIN1_[(Thr86)]
R79, unk11_p-_SIN1_[(Thr398)]
R80, unk1_p-_PPM1G_[(PPP1R3G)]
R81, unk2_p-_S6K1_[(T389)]
R82, unk3_p-_IRS_[(hS307)]
R83, unk4_p-_IRS_[(hS527)]
